time_value,346,347,350,351,352,354,355,356,357,358,359,360,362,363
2021-02-18,420.49,63.63,125.93,129.17,291.35,43.4,257.25,1075.42,578.96,221.51,24.95,57.88,48.01,150.39
2021-02-19,317.51,75.87,143.73,152.73,184.4,67.07,130.69,872.77,590.78,99.66,51.11,109.69,58.2,109.07
2021-02-20,338.11,48.88,149.45,126.55,241.58,49.98,177.21,840.27,635.32,138.38,55.5,73.11,57.13,134.74
2021-02-21,197.31,39.92,114.72,111.66,139.22,25.23,117.31,526.53,531.55,96.39,28.33,46.83,33.1,81.83
2021-02-22,191.62,28.35,82.88,92.98,101.99,13.72,125.41,619.29,247.55,103.83,14.13,35.73,27.56,45.79
2021-02-23,383.03,60.73,122.71,128.65,279.93,49.65,177.79,813.37,683.94,124.48,50.54,61.01,34.92,104.1
2021-02-24,323.3,45.91,170.6,106.48,234.57,26.48,178.92,908.55,532.54,150.68,34.55,72.93,61.95,109.73
2021-02-25,289.58,31.9,126.4,135.12,169.59,26.67,147.32,997.01,458.85,99.19,38.97,61.44,52.0,77.29
2021-02-26,420.51,59.92,287.25,136.72,301.92,48.02,160.9,999.41,763.6,140.51,33.15,105.8,66.08,118.03
2021-02-27,330.2,47.55,178.8,171.96,565.38,37.29,217.34,1124.01,684.1,130.96,36.95,83.87,44.68,105.78
2021-02-28,211.06,38.03,141.91,92.05,133.57,4.83,117.81,652.48,352.84,100.7,16.43,49.17,36.86,75.14
2021-03-01,192.66,32.77,72.03,99.08,112.3,17.48,105.5,682.47,393.81,66.3,15.58,50.09,22.14,64.14
2021-03-02,342.07,57.3,99.24,142.69,222.67,35.94,129.42,946.7,474.39,130.28,20.11,67.9,30.77,68.29
2021-03-03,351.29,51.24,156.67,106.41,223.13,26.74,180.68,847.31,498.58,123.95,25.19,84.08,48.68,93.73
2021-03-04,404.11,67.0,138.42,167.87,240.65,23.59,210.32,992.65,625.17,248.3,31.67,73.88,62.81,120.22
2021-03-05,273.93,103.62,135.8,110.29,216.45,21.37,155.38,913.96,577.02,117.68,33.83,64.2,49.83,110.67
2021-03-06,348.58,64.27,114.17,86.92,237.55,37.81,183.07,1067.6,528.24,164.75,34.97,78.74,30.99,96.39
2021-03-07,197.92,33.28,73.9,55.02,150.25,17.53,101.72,555.11,317.02,80.21,14.48,33.91,24.09,69.62
2021-03-08,150.84,23.05,53.66,70.38,115.98,7.24,83.21,626.03,256.36,80.54,21.01,44.78,17.23,47.39
2021-03-09,317.35,133.06,125.8,126.23,250.21,76.87,148.74,1022.64,723.22,125.63,21.66,77.26,57.53,83.6
2021-03-10,317.91,70.33,120.75,200.3,200.37,23.09,179.37,867.0,531.25,107.24,25.35,58.37,36.52,138.65
2021-03-11,378.16,53.94,127.11,166.1,222.38,17.29,158.04,921.1,541.94,156.3,29.44,69.37,59.18,124.37
2021-03-12,410.13,64.09,123.63,74.02,329.66,27.18,199.41,1033.11,613.16,238.32,13.3,57.15,55.24,140.65
